player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Tristan Wirfs,64818,T,TB,1,0,30,80.6,0,1,36,100.0,100.0,95.8,0,2,1,39,39,75.1,0,1,17,100.0,100.0,97.1,1,0,17,17
Rashawn Slater,59971,T,LAC,1,0,27,73.1,0,2,35,100.0,100.0,97.1,1,2,0,39,39,56.7,0,2,10,100.0,100.0,90.0,2,0,11,11
Ben Bredeson,27305,G,TB,1,0,30,38.9,1,1,36,100.0,100.0,94.4,0,3,1,39,39,8.3,1,1,17,100.0,100.0,88.2,3,1,17,17
Jake Slaughter,146693,C,LAC,1,0,27,69.8,0,0,35,100.0,100.0,100.0,1,0,0,39,39,79.1,0,0,10,100.0,100.0,100.0,0,0,11,11
Cole Strange,22976,G,LAC,1,1,27,10.6,0,5,35,100.0,100.0,92.9,1,5,0,39,39,10.3,0,3,10,100.0,100.0,85.0,3,0,11,11
Luke Goedeke,77548,T,TB,1,0,30,63.8,0,2,36,100.0,100.0,97.2,0,2,0,39,39,49.1,0,2,17,100.0,100.0,94.1,2,0,17,17
Joe Alt,147481,T,LAC,1,0,27,82.8,0,0,35,100.0,100.0,100.0,0,0,0,39,39,81.3,0,0,10,100.0,100.0,100.0,0,0,11,11
Dalton Risner,47008,G,CIN,1,0,7,83.9,0,0,37,100.0,100.0,100.0,0,0,0,38,38,86.3,0,0,17,100.0,100.0,100.0,0,0,17,17
Orlando Brown Jr.,46227,T,CIN,1,0,7,68.4,2,0,37,100.0,100.0,97.3,0,2,0,38,38,60.0,1,0,17,100.0,100.0,97.1,1,0,17,17
Amarius Mims,146719,T,CIN,1,0,7,84.1,0,0,37,100.0,100.0,100.0,0,0,0,38,38,82.9,0,0,17,100.0,100.0,100.0,0,0,17,17
