player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
CJ Henderson,55593,CB,ATL,1,0,0,0.0,0,0,2,0,0,89.7,90.4,70.7,,,72.8,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,0,5,6,6,0,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0,
Amik Robertson,55619,CB,WAS,1,0,0,50.0,0,0,32,0,0,77.2,76.7,78.3,,63.6,61.4,0,0,0,0,3,16.7,1,0,0,56.3,1,0,0,2,46,35,55,4,0,0,4,0,0,51,0,20,3,1,5,0,2,0,0,3,1,3.0
Deommodore Lenoir,55686,CB,SF,1,1,0,66.7,0,0,28,0,0,55.2,54.0,75.7,60.0,52.6,80.6,0,0,0,0,23,0.0,0,0,1,78.9,6,0,0,15,41,32,61,2,0,0,2,0,0,59,1,28,3,3,6,0,9,0,0,46,14,7.7
Marcus Jones,55717,CB,NE,1,1,0,100.0,0,0,19,0,0,60.5,67.5,73.4,57.2,76.9,79.5,0,0,0,0,24,0.0,0,0,0,118.8,2,0,0,5,1,15,24,0,0,0,0,0,3,24,1,8,15,2,4,0,2,0,0,29,8,14.5
Xavier McKinney,55775,S,GB,1,0,0,100.0,0,0,12,0,0,36.9,41.3,77.4,,70.8,78.1,0,0,0,0,16,0.0,0,0,1,158.3,1,0,0,26,0,34,65,0,0,0,0,0,31,65,0,31,8,2,3,0,1,0,1,16,0,16.0
Montaric Brown,55797,CB,JAX,1,1,0,50.0,0,0,15,0,0,54.8,63.7,75.1,,80.1,78.3,0,0,0,0,46,0.0,0,0,0,135.4,2,0,0,5,33,22,38,0,0,0,0,0,0,38,0,16,0,2,3,1,4,0,1,59,2,29.5
Kamren Curl,55800,S,LA,1,1,0,100.0,0,0,26,0,0,68.0,70.8,74.7,,62.7,78.9,0,0,0,0,8,0.0,0,0,0,93.8,2,0,0,8,0,19,30,0,0,0,0,0,18,30,0,11,4,1,2,0,2,0,0,13,24,6.5
Eric Stokes,55912,CB,LV,1,0,0,66.7,0,0,23,0,0,38.7,41.8,77.0,,64.0,75.1,0,0,0,0,25,0.0,0,0,0,97.9,4,0,0,3,52,40,55,0,0,0,0,0,0,55,0,15,0,0,2,0,6,0,0,58,21,14.5
Bryan Cook,55940,S,CIN,1,0,0,100.0,0,1,7,1,0,67.0,66.1,79.1,,53.6,61.2,0,0,0,0,11,14.3,1,0,0,112.5,1,0,0,15,1,39,57,0,0,0,0,0,40,57,0,18,1,1,6,0,1,0,0,11,11,11.0
Tony Adams,55953,S,TEN,1,1,0,,0,0,31,0,0,64.4,67.9,66.2,,60.0,78.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,2,4,0,0,0,0,0,0,4,0,2,2,1,1,0,0,0,0,0,0,
