player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Ray-Ray McCloud III,47895,WR,PIT,16,0,25,67.4,0,0,2,0.6,0.5,100.0,1,0,0,2,378,,0,0,0,0.0,0.0,,0,0,0,152
Chris Moore,10741,WR,HST,10,0,13,72.6,0,0,2,1.5,1.4,100.0,1,0,0,2,139,,0,0,0,0.0,0.0,,0,0,0,45
Equanimeous St. Brown,47967,WR,GB,13,0,12,73.1,0,0,2,1.3,1.2,100.0,1,0,0,2,165,,0,0,0,0.0,0.0,,0,0,0,50
Jaryd Jones-Smith,46843,T,BLT,1,0,3,72.9,0,0,2,100.0,100.0,100.0,0,0,0,2,2,70.7,0,0,1,100.0,100.0,100.0,0,0,1,1
Marcus Henry,11228,G,ARZ,1,0,1,72.5,0,0,2,100.0,100.0,100.0,0,0,0,2,2,72.5,0,0,2,100.0,100.0,100.0,0,0,2,2
Darius Bradwell,46445,HB,LAC,1,0,27,17.1,0,0,1,20.0,28.6,100.0,0,0,0,2,7,,0,0,0,0.0,0.0,,0,0,0,2
Jeff Smith,48055,WR,NYJ,11,0,22,70.1,0,0,2,1.5,1.4,100.0,0,0,0,2,141,,0,0,0,0.0,0.0,,0,0,0,75
Devin Asiasi,40294,TE,NE,1,0,19,70.1,0,0,2,50.0,50.0,100.0,0,0,0,2,4,,0,0,0,0.0,0.0,,0,0,0,2
Tyler Lockett,9502,WR,SEA,16,0,29,71.9,0,0,2,0.4,0.4,100.0,0,0,0,2,530,,0,0,0,0.0,0.0,,0,0,0,200
Gabe Nabers,40117,FB,LAC,6,0,27,8.8,0,0,2,12.5,11.1,100.0,0,0,0,2,18,71.3,0,0,1,16.7,14.3,100.0,0,0,1,7
Devin Duvernay,40006,WR,BLT,16,0,3,72.8,0,0,2,0.5,0.5,100.0,1,0,0,2,406,,0,0,0,0.0,0.0,,0,0,0,184
K.J. Osborn,23503,WR,MIN,17,1,18,67.6,0,0,2,0.4,0.4,100.0,2,0,0,2,537,,0,0,0,0.0,0.0,,0,0,0,256
Derek Watt,10832,FB,PIT,11,0,25,70.4,0,0,2,13.3,11.8,100.0,0,0,0,2,17,,0,0,0,0.0,0.0,,0,0,0,1
Daniel Jones,39395,QB,NYG,11,0,21,72.2,0,0,2,0.5,0.4,100.0,1,0,0,2,445,,0,0,0,0.0,0.0,,0,0,0,178
Tyler Mabry,25705,TE,SEA,4,0,29,72.9,0,0,2,28.6,28.6,100.0,0,0,0,2,7,,0,0,0,0.0,0.0,,0,0,0,1
Mac Jones,60323,QB,NE,18,0,19,72.6,0,0,2,0.3,0.3,100.0,1,0,0,2,647,,0,0,0,0.0,0.0,,0,0,0,287
Stanley Morgan,48110,WR,CIN,11,0,7,67.5,0,0,2,4.3,4.0,100.0,0,0,0,2,50,,0,0,0,0.0,0.0,,0,0,0,9
Derek Carrier,7406,TE,LV,6,0,23,74.0,0,0,2,8.0,7.7,100.0,0,0,0,2,26,,0,0,0,0.0,0.0,,0,0,0,13
La'Mical Perine,26408,HB,NYJ,3,0,22,69.1,0,0,2,15.4,14.3,100.0,0,0,0,2,14,,0,0,0,0.0,0.0,,0,0,0,3
Cedrick Wilson Jr.,48170,WR,DAL,16,0,9,67.2,0,0,2,0.5,0.5,100.0,1,0,0,2,428,,0,0,0,0.0,0.0,,0,0,0,234
Jamison Crowder,9538,WR,NYJ,12,0,22,70.7,0,0,1,0.3,0.5,100.0,0,0,0,2,418,,0,0,0,0.0,0.0,,0,0,0,197
Lester Cotton,46085,G,LV,1,0,23,73.4,0,0,2,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Trey Ragas,42174,HB,LV,1,0,23,42.6,0,1,2,25.0,25.0,75.0,0,1,0,2,8,42.6,0,1,2,28.6,28.6,75.0,1,0,2,7
Jalen Reeves-Maybin,11879,LB,DET,2,0,11,88.3,0,0,2,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0
Marvin Jones Jr.,7158,WR,JAX,17,1,15,76.4,0,1,2,0.3,0.3,75.0,2,1,0,2,667,,0,0,0,0.0,0.0,,0,0,0,318
