player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Pete Werner,58093,LB,NO,14,26,13.0,13.0,20,0,118.8,2,2,0,36,1,1.38
Kevin Knowles II,143885,CB,KC,6,51,12.8,4.3,16,0,42.4,4,12,0,22,16,0.43
Kamari Lassiter,146727,CB,HST,9,38,12.7,7.6,13,0,85.4,3,5,0,40,24,1.05
Devin Bush,27375,LB,CLV,14,38,12.7,12.7,8,0,88.9,3,3,0,16,16,0.42
Christian Roland-Wallace,97374,S,KC,8,38,12.7,7.6,16,0,111.7,3,5,1,24,5,0.63
Nick Scott,49012,S,CAR,17,50,12.5,12.5,5,0,118.8,4,4,0,75,28,1.5
Isaiah McDuffie,57754,LB,GB,16,50,12.5,8.3,12,0,81.9,4,6,0,35,27,0.7
Corey Thornton,123763,CB,CAR,4,50,12.5,5.0,5,0,54.6,4,10,0,46,28,0.92
Zack Baun,34632,LB,PHI,17,136,12.4,6.5,24,1,38.4,11,21,0,53,29,0.39
Josh Newton,84268,CB,CIN,9,37,12.3,7.4,7,0,73.8,3,5,0,26,11,0.7
Cooper DeJean,144867,CB,PHI,17,452,12.2,7.4,24,2,65.2,37,61,0,384,235,0.85
Jeremy Reaves,50406,S,WAS,15,61,12.2,10.2,32,0,96.5,5,6,0,43,43,0.7
Tre Brown,55677,CB,NYJ,1,12,12.0,6.0,22,0,72.9,1,2,0,14,15,1.17
Tyrique Stevenson,97562,CB,CHI,7,12,12.0,3.0,6,1,5.2,1,4,0,17,0,1.42
Sauce Gardner,100903,CB,IND,6,12,12.0,6.0,14,0,95.8,1,2,0,32,15,2.67
Drake Thomas,97525,LB,SEA,16,84,12.0,7.6,29,0,80.1,7,11,0,66,20,0.79
Cody Barton,50727,LB,TEN,15,48,12.0,6.9,31,0,68.2,4,7,0,31,15,0.65
Cody Simon,129757,LB,ARZ,6,12,12.0,6.0,1,0,75.0,1,2,0,15,19,1.25
Derion Kendrick,78022,CB,LA,6,72,12.0,7.2,26,2,29.2,6,10,0,40,33,0.56
Andrew Mukuba,144129,S,PHI,10,47,11.8,7.8,24,0,70.1,4,6,0,18,16,0.38
Dennis Gardeck,66928,LB,JAX,13,23,11.5,11.5,15,0,79.2,2,2,0,4,7,0.17
Alohi Gilman,41662,S,BLT,17,79,11.3,8.8,3,0,131.5,7,9,1,60,41,0.76
Xavier Woods,11946,S,TEN,10,45,11.3,6.4,31,0,105.4,4,7,1,27,25,0.6
Chase Lucas,42833,CB,SF,6,68,11.3,6.8,28,0,75.8,6,10,0,57,40,0.84
Quentin Lake,56245,S,LA,13,344,11.1,7.2,26,1,103.4,31,48,4,327,121,0.95
Talanoa Hufanga,83903,S,DEN,18,89,11.1,7.4,10,0,110.8,8,12,1,73,15,0.82
Rasul Douglas,11854,CB,MIA,10,22,11.0,5.5,17,0,90.6,2,4,0,45,28,2.05
Juanyeh Thomas,76655,S,DAL,4,11,11.0,11.0,9,0,143.8,1,1,1,9,5,0.82
Qwan'tez Stiggers,169764,CB,NYJ,5,11,11.0,5.5,22,0,75.0,1,2,0,15,8,1.36
T.J. Edwards,30737,LB,CHI,8,22,11.0,5.5,6,0,56.3,2,4,0,10,3,0.45
Ventrell Miller,57809,LB,JAX,6,11,11.0,2.2,15,0,39.6,1,5,0,-1,5,-0.09
Kerby Joseph,83239,S,DET,6,11,11.0,11.0,11,0,79.2,1,1,0,1,2,0.09
Mohamoud Diabate,98780,LB,CLV,9,11,11.0,11.0,8,0,118.8,1,1,0,19,2,1.73
Divine Deablo,42208,LB,ATL,13,55,11.0,7.9,2,0,79.5,5,7,0,30,27,0.55
Josh Wallace,97676,S,LA,6,141,10.8,7.4,26,1,83.4,13,19,1,131,86,0.93
Derwin James Jr.,51368,S,LAC,17,216,10.8,7.2,27,3,51.1,20,30,1,158,91,0.73
Craig Woodson,100612,S,NE,21,97,10.8,7.5,19,0,83.8,9,13,0,75,47,0.77
Noah Igbinoghene,61155,CB,WAS,12,162,10.8,7.0,32,0,94.3,15,23,0,209,101,1.29
Ronnie Harrison,49206,LB,ATL,8,32,10.7,8.0,2,0,95.8,3,4,0,30,27,0.94
Javon Bullard,146726,S,GB,17,359,10.6,7.5,12,0,80.6,34,48,0,225,154,0.63
Ronnie Hickman Jr.,97702,S,CLV,14,42,10.5,7.0,8,0,82.6,4,6,0,36,36,0.86
Taron Johnson,49511,CB,BUF,15,354,10.4,6.6,4,0,90.9,34,54,2,311,157,0.88
Tarheeb Still,129537,CB,LAC,16,268,10.3,7.4,27,0,98.4,26,36,1,232,178,0.87
Trevin Wallace,146747,LB,CAR,11,41,10.3,10.3,5,0,158.3,4,4,1,50,23,1.22
Jevon Holland,83873,S,NYG,14,61,10.2,4.7,21,1,73.1,6,13,2,78,21,1.28
Bryan Cook,55940,S,KC,17,81,10.1,6.8,16,0,105.2,8,12,1,57,26,0.7
Dane Belton,101398,S,NYG,17,91,10.1,6.5,21,0,84.2,9,14,0,96,52,1.05
Ja'Quan McMillian,100931,CB,DEN,19,515,10.1,6.7,10,3,68.9,51,77,1,435,193,0.84
Justin Reid,49048,S,NO,13,90,10.0,7.5,20,1,47.6,9,12,0,51,34,0.57
Jalen Thompson,49116,S,ARZ,15,180,10.0,6.2,1,0,76.9,18,29,0,161,54,0.89
Mykal Walker,57834,LB,NYJ,6,10,10.0,5.0,22,0,56.3,1,2,0,5,9,0.5
Marte Mapu,56159,LB,NE,9,20,10.0,5.0,19,0,74.0,2,4,0,29,26,1.45
Mack Wilson Sr.,43190,LB,ARZ,7,20,10.0,5.0,1,0,59.4,2,4,0,15,4,0.75
Corey Ballentine,83833,CB,DAL,2,10,10.0,5.0,9,0,79.2,1,2,0,17,14,1.7
Tre'Davious White,11782,CB,BUF,8,10,10.0,3.3,4,0,42.4,1,3,0,6,1,0.6
Dante Trader Jr.,144900,S,MIA,14,50,10.0,8.3,17,0,158.3,5,6,1,85,44,1.7
Ja'Marcus Ingram,55738,CB,HST,4,30,10.0,10.0,13,0,118.8,3,3,0,49,14,1.63
Azareye'h Thomas,156277,CB,NYJ,6,10,10.0,10.0,22,0,118.8,1,1,0,19,3,1.9
Lonnie Johnson Jr.,55615,S,LV,9,20,10.0,6.7,23,0,100.7,2,3,0,31,14,1.55
Devon Key,56307,S,DEN,1,10,10.0,10.0,10,0,91.7,1,1,0,6,0,0.6
Byron Murphy Jr.,44027,CB,MIN,17,159,9.9,6.1,18,0,94.2,16,26,1,175,66,1.1
Malik Mustapha,142358,S,SF,14,49,9.8,7.0,28,0,119.6,5,7,1,31,10,0.63
Malaki Starks,157069,S,BLT,17,117,9.8,6.5,3,0,102.5,12,18,1,114,37,0.97
Geno Stone,55967,S,CIN,15,49,9.8,6.1,7,0,81.8,5,8,0,53,30,1.08
Garrett Williams,99723,CB,ARZ,10,196,9.8,7.5,1,1,129.6,20,26,4,249,142,1.27
Billy Bowman Jr.,144638,CB,ATL,6,145,9.7,5.8,2,1,68.6,15,25,0,199,118,1.37
Jalen Ramsey,10639,S,PIT,18,214,9.7,7.4,25,0,117.2,22,29,2,201,115,0.94
Michael Carter II,60644,CB,PHI,12,97,9.7,6.5,24,0,91.3,10,15,0,121,76,1.25
Tony Adams,55953,S,NYJ,9,29,9.7,3.6,22,0,45.8,3,8,0,10,3,0.34
