year,week,player,pos,base_proj,var_proj,actual,var_error,perstat_shift,abs_error
2024,12,Nico Collins,WR,11.12,10.92,20.2,-9.28,-0.2,9.28
2025,11,Khalil Shakir,WR,10.25,9.96,0.7,9.26,-0.29,9.26
2025,11,Travis Etienne,RB,9.86,10.04,19.3,-9.26,0.18,9.26
2024,10,Rashod Bateman,WR,8.43,8.14,17.4,-9.26,-0.29,9.26
2025,3,Jake Ferguson,TE,12.51,11.94,21.2,-9.26,-0.57,9.26
2025,5,Travis Kelce,TE,10.14,9.85,19.1,-9.25,-0.29,9.25
2024,5,Rhamondre Stevenson,RB,9.76,9.95,19.2,-9.25,0.19,9.25
2025,6,Amon-Ra St. Brown,WR,22.84,22.94,13.7,9.24,0.1,9.24
2025,18,Kenny Gainwell,RB,11.97,12.16,21.4,-9.24,0.19,9.24
2024,10,Bucky Irving,RB,8.47,8.47,17.7,-9.23,0.0,9.23
2025,18,Courtland Sutton,WR,11.12,10.73,1.5,9.23,-0.39,9.23
2024,18,Geno Smith,QB,17.31,17.09,26.32,-9.23,-0.22,9.23
2024,5,Breece Hall,RB,15.75,15.93,6.7,9.23,0.18,9.23
2025,8,Jonathan Taylor,RB,28.74,28.18,37.4,-9.22,-0.56,9.22
2024,18,Michael Penix Jr.,QB,16.42,15.76,24.98,-9.22,-0.66,9.22
2025,7,Nico Collins,WR,15.44,15.92,6.7,9.22,0.48,9.22
2024,16,George Kittle,TE,9.47,9.38,18.6,-9.22,-0.09,9.22
2024,14,James Conner,RB,13.08,12.99,22.2,-9.21,-0.09,9.21
2025,3,Chase Brown,RB,15.01,15.2,6.0,9.2,0.19,9.2
2024,3,Trey McBride,TE,15.27,14.7,5.5,9.2,-0.57,9.2
2025,8,Ladd McConkey,WR,11.79,11.6,20.8,-9.2,-0.19,9.2
2025,3,Jerry Jeudy,WR,12.46,11.89,2.7,9.19,-0.57,9.19
2025,14,Travis Kelce,TE,11.09,10.99,1.8,9.19,-0.1,9.19
2025,6,Deebo Samuel Sr.,WR,13.81,14.58,5.4,9.18,0.77,9.18
2024,17,Jonathan Taylor,RB,18.61,18.42,27.6,-9.18,-0.19,9.18
2025,7,Mac Jones,QB,14.51,14.36,5.18,9.18,-0.15,9.18
2024,7,Austin Ekeler,RB,13.82,13.17,4.0,9.17,-0.65,9.17
2025,15,Jared Goff,QB,16.64,16.35,25.52,-9.17,-0.29,9.17
2025,17,Jaylen Waddle,WR,10.06,9.87,0.7,9.17,-0.19,9.17
2024,3,Joe Burrow,QB,16.72,16.2,25.36,-9.16,-0.52,9.16
2025,13,CeeDee Lamb,WR,15.54,15.06,24.2,-9.14,-0.48,9.14
2025,14,Jerry Jeudy,WR,7.27,7.46,16.6,-9.14,0.19,9.14
2024,17,Jayden Reed,WR,11.02,10.73,1.6,9.13,-0.29,9.13
2024,11,Sam Darnold,QB,14.51,14.51,23.64,-9.13,0.0,9.13
2025,9,Mark Andrews,TE,7.95,7.48,16.6,-9.12,-0.47,9.12
2024,14,Garrett Wilson,WR,8.91,9.29,18.4,-9.11,0.38,9.11
2025,4,Tyler Warren,TE,9.19,9.19,18.3,-9.11,0.0,9.11
2025,16,David Montgomery,RB,10.59,10.5,1.4,9.1,-0.09,9.1
2024,5,Mike Evans,WR,14.0,14.1,23.2,-9.1,0.1,9.1
2024,11,Tony Pollard,RB,13.82,14.0,4.9,9.1,0.18,9.1
2024,14,Ray-Ray McCloud,WR,8.71,9.0,18.1,-9.1,0.29,9.1
2024,6,Dallas Goedert,TE,9.47,9.09,0.0,9.09,-0.38,9.09
2025,10,Breece Hall,RB,10.13,10.41,19.5,-9.09,0.28,9.09
2024,6,Romeo Doubs,WR,10.73,10.83,19.9,-9.07,0.1,9.07
2024,12,Josh Downs,WR,14.77,14.77,5.7,9.07,0.0,9.07
2025,17,Michael Wilson,WR,10.92,10.83,19.9,-9.07,-0.09,9.07
2025,3,Keenan Allen,WR,10.54,10.44,19.5,-9.06,-0.1,9.06
2024,8,Brock Purdy,QB,17.46,16.94,26.0,-9.06,-0.52,9.06
2024,4,Xavier Legette,WR,10.54,10.54,19.6,-9.06,0.0,9.06
2025,4,Ricky Pearsall,WR,18.04,17.65,8.6,9.05,-0.39,9.05
2024,11,Jaxon Smith-Njigba,WR,12.75,12.75,21.8,-9.05,0.0,9.05
2025,5,David Njoku,TE,9.76,9.66,18.7,-9.04,-0.1,9.04
2025,4,Cedric Tillman,WR,11.21,10.64,1.6,9.04,-0.57,9.04
2025,3,Jonathan Taylor,RB,23.95,23.76,32.8,-9.04,-0.19,9.04
2025,12,Kyren Williams,RB,15.01,14.83,5.8,9.03,-0.18,9.03
2024,5,Xavier Legette,WR,10.44,10.83,1.8,9.03,0.39,9.03
2024,17,Caleb Williams,QB,15.39,15.61,6.58,9.03,0.22,9.03
2024,6,Bucky Irving,RB,9.49,9.49,18.5,-9.01,0.0,9.01
2025,12,Rashid Shaheed,WR,9.77,9.48,0.5,8.98,-0.29,8.98
